Name of Suit case	スーツケース名	W(cm)	H(cm)	D(cm)	Length(cm)	Weight(kg)
RIMOWA Classic Cabin S	RIMOWA クラシックキャビンS	55	40	20	4.2	33
RIMOWA Classic Cabin	RIMOWA クラシックキャビン	55	40	23	4.3	36
RIMOWA Original Cabin S	RIMOWA オリジナルキャビンS	55	40	20	4.2	31
RIMOWA Original Cabin	RIMOWA オリジナルキャビン	55	40	23	4.3	35
RIMOWA Original Cabin Plus	RIMOWA オリジナルキャビンプラス	57	44	25.5	4.7	49
RIMOWA Essential Cabin S	RIMOWA エッセンシャルキャビンS	55	39	20	3.1	34
RIMOWA Essential Cabin	RIMOWA エッセンシャルキャビン	55	39	23	3.2	36
RIMOWA Hybrid Cabin S	RIMOWA ハイブリッドキャビン	55	40	23	3.8	37
RIMOWA Essential Lite Cabin U	RIMOWA エッセンシャルライトキャビンU	50	35	20	2	28
RIMOWA Essential Lite Cabin	RIMOWA エッセンシャルライトキャビン	55	37	23	2.2	37
